league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;saves;totalClearance;wasFouled;goalsConceded;totalPass;accuratePass;minsPlayed;gameStarted;goalKicks;formationPlace;totalThrows;totalTackle;fouls;totalSubOff;shotOffTarget;totalScoringAtt;lostCorners;blockedScoringAtt;wonTackle;ontargetScoringAtt;wonCorners;cornerTaken;yellowCard;totalSubOn;cleanSheet;totalOffside;goalAssist;goals
73;2425;9kvv3elucbullikg8m1xgxq1g;lpm-leg;1ae3awgwm3i1jds5tfct5441j;8ndsjumd9xg06mwged8d0oqnd;Dinko Horkaš;Dinko Horkas;D. Horkaš;13;Goalkeeper;Centre;1;3;1;1;1;50;39;90;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9kvv3elucbullikg8m1xgxq1g;lpm-leg;1ae3awgwm3i1jds5tfct5441j;7xsiqumlovt1sfsjvkmw1sn2t;Alejandro José Muñoz Miguel;Álex Muñoz;Álex Muñoz;23;Defender;Left;3;0;1;2;1;26;24;45;1;0;3;6;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9kvv3elucbullikg8m1xgxq1g;lpm-leg;1ae3awgwm3i1jds5tfct5441j;12cgiy0t282ywdbr5j78hrxsl;Scott Fraser McKenna;Scott McKenna;S. McKenna;15;Defender;Left/Centre;6;0;10;0;1;72;64;90;1;0;6;0;3;0;0;2;3;1;1;1;0;0;0;0;0;0;0;0;0
73;2425;9kvv3elucbullikg8m1xgxq1g;lpm-leg;1ae3awgwm3i1jds5tfct5441j;7bwn8rvlrc1gts7iofdao6qc;Juan Manuel Herzog González;Juan Herzog;Juanma Herzog;28;Defender;Centre/Right;5;0;11;0;1;77;69;90;1;6;5;0;0;2;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
73;2425;9kvv3elucbullikg8m1xgxq1g;lpm-leg;1ae3awgwm3i1jds5tfct5441j;awqlm82xjp3vh5wj1fexizysp;Víctor Álvarez Rozada;Viti Rozada;Viti Rozada;18;Defender;Right;2;0;3;0;1;24;19;55;1;0;2;6;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9kvv3elucbullikg8m1xgxq1g;lpm-leg;1ae3awgwm3i1jds5tfct5441j;1qkneebzln8byl9td2aswznmy;Alberto Moleiro González;Alberto Moleiro;Alberto Moleiro;10;Midfielder;Left;11;0;0;0;1;30;25;81;1;0;11;3;0;1;1;1;4;0;2;0;1;4;0;0;0;0;0;0;0
73;2425;9kvv3elucbullikg8m1xgxq1g;lpm-leg;1ae3awgwm3i1jds5tfct5441j;1g8xr073jl9jwmh5yrco855d6;Dário Cassia Luís Essugo;Dário Cassia Luís Essugo;Dário Essugo;29;Midfielder;Left/Centre;8;0;2;0;1;35;33;72;1;0;8;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2425;9kvv3elucbullikg8m1xgxq1g;lpm-leg;1ae3awgwm3i1jds5tfct5441j;9mj4hy93jtxr65ldnhj684ktm;Enzo Lilian Marin Loiodice;Enzo Loiodice;E. Loiodice;12;Midfielder;Centre/Right;4;0;0;1;1;64;55;90;1;0;4;1;2;1;0;0;1;0;0;1;1;2;2;0;0;0;0;0;0
73;2425;9kvv3elucbullikg8m1xgxq1g;lpm-leg;1ae3awgwm3i1jds5tfct5441j;3o3qwjiz4z4wdztli6fleb2ay;Marvin Olawale Akinlabi Park;Marvin Park;Marvin Park;2;Midfielder;Right;7;0;2;0;1;34;28;90;1;0;7;7;3;3;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0
73;2425;9kvv3elucbullikg8m1xgxq1g;lpm-leg;1ae3awgwm3i1jds5tfct5441j;d3hg7lo01o84dsvzud3b6vsnp;Oliver Robert McBurnie;Oliver McBurnie;O. McBurnie;16;Striker;Left/Centre;9;0;1;1;1;14;9;81;1;0;9;0;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
