league;season;match;match_slug;team;player_id;name;short_name;match_name;shirt_number;position;pos_side;formation_place;accuratePass;cleanSheet;gameStarted;goalKicks;minsPlayed;saves;totalClearance;totalPass;formationPlace;blockedScoringAtt;fouls;shotOffTarget;totalScoringAtt;totalTackle;totalThrows;wasFouled;wonCorners;wonTackle;cornerTaken;lostCorners;ontargetScoringAtt;totalSubOff;yellowCard;totalSubOn;totalOffside
73;2526;2fpgp04qfqn3zanmznei2zmdw;elc-osa;4yg9ttzw0m51048doksv8uq5r;8rgy29sd9okehwq8bzyb3v0t1;Matías Ezequiel Dituro Curto;Matías Dituro;M. Dituro;1;Goalkeeper;Centre;1;39;1;1;3;90;1;2;55;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2526;2fpgp04qfqn3zanmznei2zmdw;elc-osa;4yg9ttzw0m51048doksv8uq5r;33r4ae8aivh27ho0ix9mnkedx;Pedro Bigas Rigo;Pedro Bigas;Pedro Bigas;6;Defender;Left/Centre;4;57;1;1;0;90;0;7;62;4;1;3;1;2;2;2;2;1;1;0;0;0;0;0;0;0
73;2526;2fpgp04qfqn3zanmznei2zmdw;elc-osa;4yg9ttzw0m51048doksv8uq5r;8nbnru9t2qxaotxw0hiaocdt5;Víctor Chust García;Victor Chust;Víctor Chust;23;Defender;Centre;5;57;1;1;0;90;0;4;62;5;0;0;0;1;2;0;0;0;2;7;2;1;0;0;0;0
73;2526;2fpgp04qfqn3zanmznei2zmdw;elc-osa;4yg9ttzw0m51048doksv8uq5r;dfss2zdkn61bbq312zhxlddyh;Léo Pétrot;Léo Pétrot;L. Pétrot;21;Defender;Centre/Right;6;32;1;1;0;90;0;2;38;6;0;0;0;0;2;4;0;0;2;0;0;0;0;0;0;0
73;2526;2fpgp04qfqn3zanmznei2zmdw;elc-osa;4yg9ttzw0m51048doksv8uq5r;5mgmcero3ui4a24v1w1upx3sa;Germán Valera Karabinaite;Germán Valera;Germán Valera;11;Midfielder;Left;3;29;1;1;0;90;0;1;30;3;0;2;0;0;1;5;5;2;0;0;0;0;0;0;0;0
73;2526;2fpgp04qfqn3zanmznei2zmdw;elc-osa;4yg9ttzw0m51048doksv8uq5r;90ga4jxu6ydpoliajft8w9y39;Aleix Febas Pérez;Aleix Febas;Aleix Febas;14;Midfielder;Left/Centre;8;56;1;1;0;90;0;0;61;8;0;1;0;0;0;0;4;3;0;0;0;0;0;0;0;0
73;2526;2fpgp04qfqn3zanmznei2zmdw;elc-osa;4yg9ttzw0m51048doksv8uq5r;z0qe6u5fvgrjy0jzk1qhbgq2;Marc Aguado Pallarés;Marc Aguado;Marc Aguado;8;Midfielder;Centre;11;28;0;1;0;80;0;1;31;11;0;1;0;0;3;0;3;0;2;0;0;0;1;1;0;0
73;2526;2fpgp04qfqn3zanmznei2zmdw;elc-osa;4yg9ttzw0m51048doksv8uq5r;d87uduceapind7lgv6273xedw;Lucas Antonio Cepeda Barturen;Lucas Cepeda;L. Cepeda;24;Midfielder;Centre/Right;7;31;0;1;0;80;0;0;39;7;2;1;1;4;2;0;2;3;1;3;1;1;1;0;0;0
73;2526;2fpgp04qfqn3zanmznei2zmdw;elc-osa;4yg9ttzw0m51048doksv8uq5r;1i9mqbswolg91evnmsrf5katx;José Antonio Morente Oliva;José Antonio Morente Oliva;Tete Morente;15;Midfielder;Right;2;11;0;1;0;85;0;0;17;2;0;3;1;1;2;0;1;0;1;0;0;0;1;1;0;0
73;2526;2fpgp04qfqn3zanmznei2zmdw;elc-osa;4yg9ttzw0m51048doksv8uq5r;dhhmffih4gl51nlu92hfctqs5;André Miguel Valente da Silva;André Miguel Valente da Silva;André Silva;9;Striker;Left/Centre;9;19;0;1;0;85;0;0;24;9;1;0;1;4;0;1;0;1;0;0;0;2;1;0;0;0
73;2526;2fpgp04qfqn3zanmznei2zmdw;elc-osa;4yg9ttzw0m51048doksv8uq5r;osme4gegtnhlldt4lsqf56ac;Álvaro Daniel Rodríguez Muñoz;Álvaro Rodríguez;Á. Rodríguez;20;Striker;Centre/Right;10;15;1;1;0;90;0;1;25;10;0;1;3;4;1;0;1;0;1;0;0;1;0;0;0;0
73;2526;2fpgp04qfqn3zanmznei2zmdw;elc-osa;4yg9ttzw0m51048doksv8uq5r;dkdy6ighxc2j05suqc2odry3u;Martim Carvalho Neto;Martim Carvalho Neto;Martim Neto;16;Substitute;Midfielder;0;1;0;0;0;10;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
73;2526;2fpgp04qfqn3zanmznei2zmdw;elc-osa;4yg9ttzw0m51048doksv8uq5r;4sojot9t32l4a6fm3e39xkcfd;Rafael Mir Vicente;Rafa Mir;Rafa Mir;10;Substitute;Attacker;0;0;0;0;0;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
